Fall,Status,Bearbeitungszeit(Sekunden),ErklärungDatenverarbeitung,Q0,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q4H,Q5,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q9I,Q9J,Q9K,Q9L,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q11H,Q11I,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q12I,Q13,Q14,Q15,Q16,Q17A,Q17B,Q17C,Q17D,Q17E
"125","Completed","504","1","1","5","2","2","1","1","2","3","2","IPA, corona","2","-99","-99","1","2","1","1","1","3","1","1","1","1","-99","1","5","1","1","1","1","-99","5","-99","5","5","-99","-99","5","5","-99","-99","1","-99","3","1","1","1","5","-99","1","1","1","1","1","1","2","-99","4","-99","3","-99","3","-99","-99","-99","-99","3","-99","-99","2","-99","-99","-99","-99","-99","-99","2","7","2","3","1","0","0","0","0"
"126","Completed","327","1","1","5","2","2","1","1","1","1","1","","3","2","2","1","2","1","1","1","5","1","1","1","1","1","1","5","4","5","4","4","5","5","5","5","5","3","4","5","4","3","5","5","5","5","1","1","1","1","1","1","5","1","1","1","1","5","5","2","1","1","3","1","1","1","1","1","1","3","2","2","2","1","2","2","1","4","2","9","2","3","0","0","0","0","1"
"127","Completed","579","1","1","3","2","3","1","1","2","3","3","Stuttgarter Hoffbreu","2","2","1","2","2","1","1","1","1","3","4","4","3","3","3","3","1","3","2","1","1","5","-99","3","2","-99","5","-99","3","5","3","2","-99","1","3","-99","-99","-99","4","3","2","4","-99","3","-99","1","5","4","3","3","3","-99","-99","-99","1","1","1","-99","-99","-99","-99","-99","-99","-99","-99","5","1","10","1","1","0","0","1","0","0"
"128","Started","439","1","1","3","3","3","2","1","2","3","2","Berg Bier","3","2","1","2","1","2","1","1","3","2","3","3","1","1","1","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"129","Completed","448","1","1","3","2","3","1","1","2","3","2","Waldhaus","3","3","1","2","1","1","1","1","1","3","2","5","3","1","4","3","3","3","3","3","2","5","2","2","2","3","3","3","3","2","2","4","4","1","4","3","1","1","4","2","2","4","1","3","2","2","2","4","2","3","2","4","3","4","2","2","3","2","2","2","2","2","2","3","2","4","1","13","-99","-99","-99","-99","-99","-99","-99"
"130","Completed","698","1","1","5","2","3","1","1","3","3","2","Heineken, Paulaner","3","1","1","2","1","1","1","1","5","2","-99","3","1","2","1","3","2","1","2","1","5","5","4","4","2","2","-99","-99","2","4","-99","2","4","5","4","2","1","1","1","1","2","3","1","4","1","5","3","1","2","2","3","3","2","2","1","1","3","2","2","2","2","2","2","2","2","4","1","10","1","9","1","0","0","0","0"
"131","Completed","486","1","1","2","3","3","2","2","2","2","3","Fürstenberg Pilsener","2","2","1","2","1","3","1","1","1","5","3","5","4","3","4","2","2","5","1","1","1","5","3","4","4","1","5","1","2","4","1","5","2","1","4","3","1","1","1","2","1","5","2","4","1","1","1","5","3","5","4","3","1","1","4","1","1","2","2","2","1","3","1","3","1","4","1","4","1","9","1","0","0","0","1"
"132","Completed","354","1","1","4","3","1","2","2","2","2","2","Corona","3","2","3","2","2","2","1","1","1","2","2","2","2","2","2","3","4","5","4","4","3","2","3","3","2","3","3","4","2","2","1","2","2","1","3","3","1","1","1","1","4","1","1","3","1","1","1","1","1","1","2","3","3","1","2","2","4","2","3","3","2","2","1","2","2","2","1","6","1","3","0","0","1","0","0"
"133","Completed","1150","1","1","3","3","3","2","1","2","2","2","Paulaner, Somersby, Augustiner, Stuttgarter Höfbrau","3","3","1","2","1","1","1","1","3","2","2","3","2","2","2","3","4","4","3","5","2","-99","-99","-99","3","-99","3","3","-99","-99","3","4","4","3","5","2","3","3","5","3","5","3","4","5","3","3","3","4","2","1","3","4","1","1","3","4","3","3","2","-99","1","3","2","-99","1","-99","2","10","1","3","0","0","0","1","0"
"134","Completed","631","1","1","2","2","3","1","1","2","3","2","Chiemsee, Stuttgarter Hofbräu, Löschzwerge, Desperados, Corona (wenn das zählt)","3","2","2","3","3","1","2","1","1","4","2","5","4","3","1","4","1","5","2","2","1","5","3","5","5","2","2","3","3","4","3","4","4","1","2","2","2","4","-99","4","3","4","1","5","4","1","2","2","2","4","5","4","2","2","1","2","4","5","5","4","2","4","5","3","1","2","1","7","1","3","1","0","0","0","1"
"135","Completed","674","1","1","2","2","2","1","1","3","2","2","Desperados, Augustiner, Käpsele(Stuttgarter Hofbräu)","2","3","1","2","3","1","1","2","2","2","2","3","2","2","2","4","2","4","2","3","2","5","5","3","4","-99","3","4","3","4","2","-99","3","1","3","4","-99","-99","2","-99","3","3","2","5","2","2","3","3","2","2","3","4","2","2","2","4","4","4","4","3","2","4","4","3","2","4","2","7","1","3","0","0","1","0","0"
"136","Completed","318","1","1","3","3","3","1","1","3","3","3","Bayreuther, Erdinger, Wulle","3","3","3","1","3","1","1","1","4","3","4","5","2","4","3","5","4","4","1","4","4","4","4","4","-99","2","2","3","-99","3","2","-99","4","4","4","4","4","2","2","4","4","4","2","4","4","5","5","5","5","5","4","4","1","3","1","1","4","4","-99","4","4","2","4","3","-99","2","1","10","1","1","1","0","0","0","0"
"137","Completed","1146","1","1","2","3","3","2","2","2","3","3","Augustiner","3","1","2","2","1","1","1","1","1","5","4","5","5","1","5","4","3","1","5","1","1","5","2","3","2","2","5","-99","3","-99","4","3","5","2","5","1","1","1","1","3","1","3","1","5","1","1","1","5","3","4","1","2","1","4","3","1","2","-99","-99","1","-99","-99","-99","5","1","5","2","14","1","1","0","0","0","1","0"
"138","Completed","2061","1","1","2","3","3","2","1","3","3","3","Oettinger, Ichnusa, Chiemser, Birra Messina","3","3","2","2","3","1","1","1","3","4","2","4","3","3","2","3","4","4","4","3","3","4","3","4","2","2","3","3","2","5","3","4","3","2","4","4","3","4","3","4","3","2","4","5","4","2","3","5","4","4","3","2","4","4","5","3","4","3","3","2","2","3","1","3","2","5","1","11","1","3","0","0","0","0","1"
"139","Started","385","1","1","3","2","3","1","1","2","3","2","Chiemseer","3","1","-99","-99","2","-99","1","1","1","4","5","5","3","3","5","3","3","4","2","2","2","5","4","5","3","1","2","3","4","4","3","4","5","1","1","4","1","1","1","4","3","4","3","4","1","1","1","1","2","3","3","5","3","2","2","3","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"140","Started","275","1","1","2","3","3","1","2","3","3","3","Heineken Welde Schimpf Corona","1","3","2","3","2","3","1","3","2","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"141","Completed","488","1","1","3","2","3","1","1","2","3","3","Paulaner Chiemseer Erdinger Schönbuch Bräu","3","2","1","3","2","3","1","1","5","2","1","4","1","1","1","4","4","4","4","1","4","5","4","3","3","2","4","2","2","3","1","4","4","5","5","1","2","3","4","3","2","2","2","4","2","5","1","3","3","3","4","2","3","3","3","1","3","2","-99","-99","-99","2","1","1","-99","4","1","9","1","3","0","0","1","0","0"
"142","Completed","730","1","1","3","2","3","1","2","3","3","3","Ratsherren, Augustiner, Tegernseer","2","2","1","2","2","1","1","3","2","2","2","5","1","3","1","3","2","3","2","1","2","5","2","2","2","1","1","1","1","2","1","3","2","2","4","2","2","1","3","5","1","4","2","5","3","1","1","5","2","4","3","3","2","3","3","2","4","1","1","1","1","1","1","1","1","1","1","10","6","2","0","0","0","0","1"
"143","Completed","718","1","1","3","2","3","2","2","2","3","3","waldhaus, corona","3","2","2","3","2","1","1","1","3","3","2","5","2","3","2","5","4","5","4","5","3","5","4","4","2","2","4","3","3","5","2","3","4","3","3","4","3","3","3","3","3","5","2","3","2","3","4","4","4","4","4","4","4","3","4","5","5","2","2","2","2","2","3","2","1","4","1","10","1","1","0","0","1","0","0"
"144","Completed","800","1","1","3","3","3","1","1","2","3","3","sterburg","3","1","-99","1","2","1","-99","1","1","4","3","4","2","1","2","4","4","3","3","1","4","3","3","5","2","3","2","2","1","4","1","1","1","1","4","4","1","3","2","4","5","4","1","4","1","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","1","1","1","1","1","1","1","1","1","1","10","13","3","0","0","0","0","1"
"145","Started","540","1","1","2","2","3","1","2","2","3","2","Egger Augustiner Hirsch Schönbuch","3","2","1","2","2","1","2","1","3","3","4","4","3","3","3","3","4","5","2","1","2","5","4","4","3","2","5","4","4","5","2","3","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"146","Completed","412","1","1","2","3","3","1","1","3","3","2","FÜRSTENBERG","3","2","1","2","1","-99","1","1","2","4","2","4","4","2","-99","3","2","2","2","2","2","5","4","3","-99","-99","-99","2","-99","1","-99","3","-99","2","2","2","2","1","1","3","4","5","1","3","1","-99","-99","5","1","5","2","3","1","1","3","1","3","3","4","-99","-99","3","2","2","1","-99","1","-99","1","1","1","0","0","0","0"
"147","Completed","1869","1","1","5","2","2","2","1","1","2","1","Rothaus","3","3","1","2","1","1","1","1","2","2","1","2","1","2","1","4","2","5","5","1","2","5","5","4","1","1","5","4","2","2","2","2","5","4","3","1","1","5","1","5","3","3","2","3","4","3","3","3","2","1","5","4","1","1","1","1","4","-99","-99","-99","-99","2","-99","-99","-99","-99","1","9","1","3","1","0","0","0","0"
"148","Completed","423","1","1","3","2","3","2","2","3","3","3","Erdinger, Paulaner, Tegernseeer, Augustiner","3","2","1","2","2","2","1","1","4","4","2","4","2","1","4","3","3","4","4","2","3","4","3","3","3","2","3","3","3","4","2","3","4","2","5","4","3","1","2","2","4","3","1","5","2","3","3","3","1","4","3","1","1","2","3","1","4","4","2","1","3","2","3","4","1","4","1","15","2","1","0","0","0","1","0"
"149","Completed","768","1","1","4","2","3","1","1","3","3","3","Waldhaus","3","1","1","2","1","2","1","1","2","2","2","4","2","3","1","5","3","4","4","2","4","5","2","3","4","2","2","4","2","4","2","5","3","1","5","2","2","1","3","2","3","3","2","4","2","2","2","5","2","2","4","4","2","1","1","2","3","2","2","1","1","4","1","-99","1","4","1","10","1","5","1","0","0","0","0"
"150","Completed","362","1","1","4","2","2","1","1","2","3","1","Pilsner Urquell Gambrinus Helles (Marke egal)","2","1","1","2","2","1","1","1","3","2","1","3","1","3","2","4","3","4","3","4","4","5","4","4","2","3","3","2","4","3","4","4","2","4","5","-99","-99","2","-99","-99","3","5","3","5","3","-99","3","4","-99","5","3","2","-99","-99","-99","2","3","1","1","1","1","1","1","1","1","2","2","8","1","3","1","0","0","0","0"
"151","Started","293","1","1","3","2","2","2","1","2","2","2","Alpirsbacher, Tannenzüpfle, Desperados, Welde","2","1","1","2","1","2","1","1","2","4","2","4","1","3","1","4","2","5","3","1","2","5","4","5","2","2","2","4","4","2","2","3","3","1","1","2","1","2","2","5","3","4","1","4","3","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"152","Completed","471","1","1","3","2","3","1","1","2","2","3","Rothaus Pils","2","1","1","3","2","1","1","1","2","1","2","2","1","1","2","4","4","4","3","2","3","5","3","4","3","2","4","4","3","5","1","4","2","3","1","4","3","2","3","3","5","4","2","3","2","4","4","4","2","4","1","4","1","1","2","2","4","1","1","2","1","1","1","1","1","1","1","9","1","1","0","0","1","0","0"
"153","Completed","500","1","1","2","3","3","2","2","3","3","3","Stuttgarter Hofbräu","3","3","3","3","3","1","1","1","1","5","3","5","4","4","3","3","2","3","2","2","3","5","3","2","-99","1","4","4","-99","5","1","2","5","1","5","-99","3","-99","-99","3","1","-99","-99","4","1","1","-99","-99","3","3","3","3","3","3","3","3","3","-99","-99","1","-99","-99","-99","1","-99","5","1","7","1","1","0","0","1","0","0"
"154","Started","678","1","1","2","3","3","1","1","3","3","3","Alpirsbacher, Desperados","3","2","2","2","2","2","1","1","1","4","4","5","4","2","3","4","1","3","1","1","1","4","5","2","2","2","2","3","3","3","3","4","4","1","4","4","1","2","1","2","1","2","2","4","3","1","5","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","0","0","0","0","0"
"155","Completed","561","1","1","2","3","3","1","2","2","3","3","Augustiner","3","1","1","2","2","1","1","1","3","4","1","4","3","1","2","4","3","4","2","4","2","5","2","4","4","2","-99","2","4","3","2","3","4","2","4","2","1","1","1","3","4","1","1","5","2","-99","-99","4","1","5","1","2","1","1","1","1","1","3","-99","-99","-99","3","-99","-99","1","-99","1","11","1","3","0","0","0","0","1"
"156","Completed","448","1","1","5","2","2","1","1","1","2","2","stuttgarter hofbräu","2","1","1","2","1","1","1","1","2","1","1","3","1","1","1","5","3","5","3","4","3","5","3","4","2","2","2","4","2","4","2","4","4","2","1","1","-99","-99","-99","2","5","3","1","2","-99","1","1","1","1","2","3","5","1","1","1","4","5","2","3","3","2","2","2","4","2","2","2","4","1","3","0","0","1","0","0"
"157","Started","662","1","1","2","3","3","1","1","3","2","3","Bayreuther","2","3","2","3","2","1","1","1","1","4","3","4","3","2","3","4","3","2","2","2","3","5","5","2","2","2","5","2","5","1","2","3","5","1","2","1","1","1","1","2","1","3","1","5","1","2","1","5","1","5","1","1","1","1","2","1","1","1","2","-99","3","-99","1","3","-99","5","-99","-99","-99","-99","0","0","0","0","0"
"158","Completed","532","1","1","2","2","2","1","2","3","3","3","Rothaus","3","2","1","3","2","2","1","1","4","3","3","4","4","3","3","3","3","2","2","2","2","3","3","3","4","2","4","2","3","2","2","3","4","2","4","3","1","1","1","1","2","5","1","2","1","1","2","4","1","4","3","1","1","1","1","1","2","2","2","4","2","2","3","2","2","2","1","11","1","2","1","0","0","0","0"
"159","Completed","938","1","1","3","2","3","1","1","3","2","2","Alpirsbacher Chiemseer Schönbuch bräu","-99","-99","-99","-99","-99","-99","-99","-99","2","-99","2","-99","2","-99","-99","3","4","-99","4","5","3","5","-99","2","-99","3","5","4","4","1","-99","-99","3","1","4","1","2","2","2","3","1","3","2","4","2","1","1","4","2","2","2","2","2","2","2","2","3","-99","-99","-99","1","-99","-99","-99","-99","-99","1","9","1","2","0","0","0","1","0"
"160","Completed","484","1","1","3","2","2","1","1","3","2","2","Gibt keine","3","1","2","2","2","1","1","1","1","3","1","3","1","1","1","3","4","1","3","1","1","4","-99","4","2","3","1","2","2","-99","2","3","3","1","3","-99","-99","-99","1","2","3","5","-99","2","-99","1","2","3","-99","4","-99","-99","-99","-99","1","1","3","1","1","1","1","1","1","3","1","2","1","9","1","3","0","0","1","0","0"
"161","Completed","1263","1","1","1","3","3","2","2","3","3","3","Feierling Hausbrauerei / Fürstenberg Hell / Paulaner / Chiemseer","3","1","2","2","1","2","1","1","1","4","5","5","5","4","5","4","3","3","3","2","2","4","3","4","3","2","3","3","-99","3","3","3","4","1","4","4","1","1","1","1","2","3","1","5","1","1","1","5","1","4","4","3","2","1","3","2","1","4","3","-99","3","3","3","1","1","3","1","10","1","5","0","0","1","0","0"
"162","Completed","801","1","1","2","3","2","2","2","2","3","2","König Pilsener, Pilsner Urquell, Stuttgarter Hofbräu, Störtebeker, Schönbuch","3","2","1","3","1","3","1","1","2","4","2","5","2","2","5","5","3","4","2","1","3","5","5","3","2","-99","2","4","4","3","4","2","2","2","5","2","2","3","3","3","1","3","4","2","3","1","1","5","3","4","3","4","4","4","3","4","3","2","2","2","-99","3","2","3","2","3","1","9","1","3","0","0","1","0","0"
"163","Completed","389","1","1","2","2","3","2","2","3","3","3","Alpirsbacher Schönbuch (Jäger Spezial) Chiemsee Benediktiner","3","3","1","2","1","1","1","1","1","4","4","5","3","-99","2","4","1","4","1","1","1","5","4","3","1","1","1","2","4","5","1","3","3","1","4","1","1","1","2","2","3","1","1","5","2","1","2","5","3","4","4","4","2","1","1","1","4","2","4","2","3","1","2","1","1","5","1","10","1","5","0","0","0","1","0"
"164","Completed","601","1","1","2","3","3","1","1","3","3","2","Chiemseer Käpsele Benediktiner Wulle","3","2","2","2","1","1","1","1","1","3","2","5","3","3","4","3","3","4","3","1","1","5","5","4","2","-99","4","3","4","3","2","3","4","1","1","2","2","3","3","2","4","1","3","5","3","1","5","2","2","3","4","5","4","4","1","2","4","2","3","2","1","4","2","2","1","5","2","10","1","5","0","0","0","1","0"
"165","Completed","563","1","1","1","3","3","3","3","3","3","3","Fürstenberg","3","3","1","3","2","2","1","1","1","5","5","5","5","5","5","2","2","3","1","1","1","3","3","3","-99","1","5","2","-99","3","2","3","2","1","4","1","1","1","2","4","2","5","2","3","1","1","1","5","2","4","2","2","2","2","4","2","2","-99","-99","-99","1","-99","1","-99","-99","-99","1","14","1","1","1","0","0","0","0"
"166","Completed","919","1","1","2","3","3","1","2","1","3","3","Hirsch helles","3","3","3","3","2","1","1","1","1","4","3","5","4","2","3","4","1","2","1","2","3","5","2","1","2","1","2","1","3","2","1","3","2","1","3","1","1","1","1","3","1","1","1","4","1","1","1","5","1","4","3","4","2","3","2","2","1","1","1","1","1","1","1","2","1","1","1","10","1","1","1","0","0","0","0"
"167","Completed","754","1","1","3","2","3","1","1","2","3","2","Birra moretti, Peroni, Ichnusa, Wulle","-99","-99","-99","-99","2","-99","-99","-99","2","2","2","3","2","1","3","5","3","2","4","2","3","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","2","3","-99","-99","3","3","3","1","4","2","5","3","3","-99","5","2","4","4","3","3","3","4","2","4","4","4","-99","-99","4","-99","-99","-99","4","1","-99","-99","3","1","0","0","0","0"
"168","Completed","441","1","1","5","2","3","1","1","3","3","2","Hochdorfer, Alpirsbacher","3","1","2","2","1","1","1","1","2","2","1","3","1","1","1","3","3","3","3","4","2","5","5","4","4","-99","4","5","2","5","-99","3","4","3","3","1","1","1","2","2","4","2","2","4","2","2","3","4","2","2","4","4","2","2","1","1","4","-99","2","-99","-99","-99","4","-99","-99","-99","2","6","1","9","0","0","1","0","0"
"169","Completed","456","1","1","4","1","3","1","1","2","2","3","Augustiner, Desperados (Marke?)","2","1","1","2","1","1","1","1","1","2","1","2","1","1","1","5","2","1","1","2","4","5","4","4","1","-99","-99","2","-99","1","3","3","3","1","3","1","1","1","1","1","3","1","1","3","1","1","1","4","1","3","-99","4","1","1","1","1","4","-99","-99","2","-99","-99","-99","1","-99","2","1","10","2","3","0","0","1","0","0"
"170","Completed","838","1","1","2","3","3","1","1","3","3","3","Helles Bayrisches Bier, Corona, Schönbuch Naturtrüb","2","2","1","3","2","1","1","1","1","3","4","5","4","4","4","3","1","4","1","1","2","4","4","4","3","1","2","1","1","5","2","4","4","1","4","1","1","1","1","4","3","3","1","5","1","1","1","5","2","3","3","2","3","2","3","2","4","3","5","4","1","4","3","2","1","1","1","12","1","1","1","0","0","0","0"
"171","Completed","438","1","1","3","3","3","1","1","3","2","1","Augustiner","2","2","1","2","3","1","1","1","1","1","1","3","1","2","2","4","4","4","3","2","1","5","2","5","2","-99","3","4","4","3","2","4","5","1","1","3","-99","-99","2","2","4","1","1","4","2","1","1","4","1","2","3","4","2","2","1","1","4","2","3","2","2","3","3","2","1","5","2","11","2","-99","0","0","0","0","1"
"172","Completed","527","1","1","5","2","2","1","1","1","3","1","Pilsner","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","4","4","4","3","2","4","4","4","-99","2","2","4","2","-99","5","2","1","2","1","3","1","1","3","3","-99","4","4","-99","3","2","2","2","3","1","2","3","4","3","2","1","1","3","1","1","1","1","1","-99","2","1","3","1","6","2","3","1","0","0","0","0"
"173","Completed","574","1","1","5","2","2","2","1","2","2","2","","3","2","1","2","1","2","1","1","3","2","1","3","2","2","2","4","4","3","3","4","2","3","3","3","3","3","3","3","1","3","1","3","1","3","3","4","2","2","2","2","4","2","2","4","2","3","3","3","2","3","3","3","2","2","3","4","4","1","1","1","1","1","1","1","1","1","1","-99","1","3","0","0","0","1","0"
"174","Completed","1202","1","1","2","2","2","2","1","2","3","3","Inselbräu und Maisel","3","3","1","3","2","2","1","1","1","5","5","5","3","1","1","4","5","1","5","1","1","5","5","5","1","4","5","1","5","1","4","3","1","3","1","1","3","5","1","4","1","1","4","2","3","1","1","5","3","5","5","5","1","2","3","1","5","1","1","1","1","1","1","1","1","4","1","14","1","3","1","0","1","0","0"
"175","Completed","643","1","1","2","3","3","2","2","3","3","3","Chiemseer, Schwaben Bräu, Schönbuch Bräu, Berg Bier, Alpirsbacher","3","3","2","3","2","2","2","1","1","5","3","5","5","3","3","3","3","3","3","1","2","5","3","3","2","2","4","2","3","4","4","2","2","1","5","2","1","1","1","3","1","2","2","5","1","1","1","5","1","3","2","1","2","2","2","1","1","2","2","2","3","3","2","2","2","4","1","9","1","1","0","0","1","0","0"
"176","Completed","608","1","1","4","2","3","1","1","2","2","2","Hochdorfer","2","-99","1","2","2","1","1","1","4","1","1","2","1","1","5","3","3","2","1","1","1","5","4","4","4","2","5","-99","-99","-99","3","3","2","1","2","1","1","1","-99","1","4","4","1","2","1","1","1","2","1","1","1","3","1","1","1","1","3","-99","-99","-99","-99","-99","-99","2","-99","-99","1","5","1","4","0","0","1","0","0"
"177","Completed","602","1","1","4","3","2","1","1","1","2","2","Schönbuchbräu","2","1","2","-99","2","3","1","1","4","3","1","4","1","2","4","5","4","4","5","3","5","5","5","5","4","3","-99","-99","2","4","4","4","5","1","4","1","1","1","1","4","1","1","1","5","3","2","2","2","1","5","5","5","3","3","1","3","1","2","2","5","2","4","2","2","2","3","1","9","1","3","1","0","0","0","0"
"178","Completed","394","1","1","2","3","3","1","1","3","3","2","Alpirsbacher Klosterbräu Stuttgarter Hofbräu","3","2","1","1","1","1","1","1","3","2","2","4","2","2","4","2","1","2","1","1","3","4","2","3","4","1","5","4","2","4","3","4","-99","1","5","1","1","1","1","3","4","3","1","5","1","2","2","4","1","3","4","3","1","3","2","3","3","5","3","-99","3","4","4","2","2","4","1","10","1","1","0","0","1","0","0"
"179","Completed","616","1","1","3","2","3","1","1","1","2","1","Hochdorfer","3","2","1","1","1","1","1","1","5","2","1","3","1","2","1","5","2","4","3","1","5","5","5","5","1","2","5","-99","-99","-99","-99","-99","3","4","3","1","1","1","1","1","4","5","1","5","1","5","1","4","1","1","1","3","1","1","2","1","4","-99","5","1","5","5","5","-99","-99","-99","1","4","1","1","0","0","1","0","0"
"180","Completed","294","1","1","5","2","2","1","1","1","2","2","Despo","1","2","1","2","1","1","1","1","1","1","1","2","1","1","1","5","4","4","4","5","4","5","4","4","3","4","5","3","2","3","4","4","2","3","1","1","1","1","1","1","3","2","1","2","1","4","3","2","1","1","1","3","1","1","1","2","3","3","2","3","1","1","2","1","1","2","2","10","1","3","0","0","1","0","0"
"181","Completed","608","1","1","3","2","2","1","1","2","2","2","Alpirsbacher Klosterbräu","2","2","1","2","1","1","1","1","4","3","2","3","1","2","1","4","4","4","2","1","2","5","2","3","3","2","5","3","4","2","3","3","4","3","1","1","1","-99","1","3","5","5","1","3","-99","4","4","5","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","2","-99","2","1","10","1","1","1","0","0","0","0"
"182","Completed","429","1","1","3","3","3","2","1","2","2","2","Tegernseer","3","2","1","1","1","1","1","1","1","2","2","4","2","1","3","4","3","3","3","2","1","5","-99","-99","2","-99","2","-99","3","-99","-99","2","-99","-99","5","-99","-99","-99","-99","5","3","2","1","4","-99","4","4","4","1","3","2","1","1","1","3","3","4","-99","-99","-99","-99","-99","-99","-99","-99","-99","1","7","1","3","0","0","1","0","0"
"183","Completed","515","1","1","3","3","2","1","1","2","3","2","chiemseer öttinger","2","1","1","2","2","1","1","1","3","2","3","3","1","1","2","5","4","3","5","4","2","-99","-99","4","2","3","3","3","3","4","3","2","4","1","2","2","1","5","1","5","4","4","1","5","1","3","3","3","2","1","3","4","4","3","1","1","4","1","3","3","1","2","1","1","1","4","2","11","1","3","0","0","0","1","1"
"184","Completed","539","1","1","4","2","2","1","1","2","2","2","Stuttgarter Hofbräu","2","2","1","2","2","1","1","1","3","2","1","4","1","1","1","4","4","3","4","3","2","5","3","4","3","3","3","4","4","5","2","3","5","2","4","-99","-99","-99","-99","-99","3","4","-99","4","-99","2","2","4","1","4","1","2","2","2","2","2","3","2","2","1","1","2","1","1","1","4","1","10","1","3","1","0","0","0","0"
"185","Completed","456","1","1","2","3","3","1","2","3","3","3","Augustiner, schönbuch, dinkelacker, bauhöfer","3","1","2","3","2","1","1","1","3","4","4","5","4","4","2","4","4","5","4","4","2","5","5","4","2","-99","3","4","2","3","2","4","4","3","2","1","1","-99","2","3","3","5","1","5","3","2","2","5","-99","4","-99","5","3","1","1","2","3","1","3","2","1","1","1","1","1","5","1","8","1","1","0","0","0","0","1"
"186","Completed","602","1","1","3","2","2","1","3","2","-99","-99","Desperados","3","1","2","2","2","1","1","2","1","3","3","-99","3","2","2","5","5","4","3","5","3","5","3","4","2","5","4","4","2","4","5","4","4","2","3","2","1","2","2","1","4","1","1","3","1","1","2","4","1","1","3","5","2","2","1","3","3","2","3","3","2","2","-99","2","2","3","1","9","1","1","0","0","0","0","1"
"187","Completed","950","1","1","3","3","3","1","1","3","2","2","Wulle, Kaiser, Moninger","-99","3","1","2","2","1","1","1","1","5","3","5","5","3","2","3","1","4","2","1","1","-99","2","-99","3","-99","4","-99","-99","-99","-99","4","-99","1","4","5","-99","4","4","5","3","1","3","4","-99","1","1","4","3","4","4","4","1","2","1","2","4","-99","4","-99","1","-99","4","-99","-99","-99","1","8","1","3","0","0","1","0","0"
"188","Completed","872","1","1","2","3","3","1","1","2","3","3","Kaiser Wulle Chiemseer","-99","2","1","2","1","1","1","1","1","4","2","4","3","2","3","4","2","3","3","2","2","-99","4","-99","3","-99","4","-99","-99","-99","-99","4","-99","1","2","3","-99","-99","3","4","1","3","1","5","2","1","1","5","3","4","2","3","2","3","2","3","2","1","3","1","1","2","3","4","-99","2","1","7","1","3","0","0","1","0","0"
"189","Completed","724","1","1","3","3","3","1","1","3","3","3","Killkenny, Flötzinger, Kaiser, Chiemseer","-99","3","1","2","2","1","1","1","1","4","3","5","3","4","4","4","2","3","3","4","1","5","4","4","2","2","3","2","3","5","5","5","4","1","2","-99","-99","1","5","4","3","1","4","5","1","1","1","5","3","4","4","2","1","2","4","2","2","2","3","3","2","3","3","2","2","4","1","8","1","1","0","0","1","0","0"
